model,think,tool_filter,prompt_style,cond,arm,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,solve_out_med,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_domain_out_med,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_problem_out_med,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,validate_plan_out_med,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,simulate_out_med,st_mean,total_n
Qwen3_5_9B,on,all,minimal,tools,tl-ster,?,,0.7467,0.6945,0.7926,0.7533,0.0,4381.7,0.9778,0.9568,0.9887,0.9917,0.0,1150.3,0.9217,0.8974,0.9406,0.9917,0.0,1668.0,0.9772,0.9614,0.9866,0.986,0.0,1926.3,,,,,,,0.90585,1830
gemma4_26b-a4b,off,-,-,no-tools,nt-neut,rtx,,0.0767,0.0516,0.1124,0.0,0.0,1353.8,0.7778,0.732,0.8177,0.0,0.0,531.3,0.7483,0.7121,0.7814,0.0,0.0,576.3,0.8783,0.8661,0.8895,0.0,0.0,1000.2,0.0,0.0,0.0126,0.0,0.0,2695.0,0.49622,4560
gemma4_26b-a4b,off,all,minimal,tools,tl-neut,rtx,,0.99,0.971,0.9966,1.0,0.0,2195.2,0.9833,0.9641,0.9923,1.0,0.0,781.8,0.9967,0.9879,0.9991,1.0,0.0,1122.0,0.174,0.1609,0.188,0.1753,0.0,1058.3,0.87,0.8272,0.9034,0.9967,0.0,1426.2,0.8028000000000001,4560
gemma4_26b-a4b,off,all,minimal,tools,tl-ster,rtx,,0.9967,0.9814,0.9994,1.0,0.0,2032.5,0.9861,0.9679,0.9941,1.0,0.0,764.7,1.0,0.9936,1.0,1.0,0.0,1117.5,0.9047,0.8936,0.9147,0.913,0.0,1312.8,0.8933,0.8533,0.9234,1.0,0.0,1410.3,0.95616,4560
gemma4_26b-a4b,on,-,-,no-tools,nt-neut,?,,0.0367,0.0206,0.0645,0.0,0.0,8192.0,0.0,0.0,0.0106,0.0,0.0,6144.0,0.0442,0.0301,0.0645,0.0,0.0,6144.0,,,,,,,,,,,,,0.026966666666666667,1225
gemma4_26b-a4b,on,all,minimal,tools,tl-neut,?,,0.23,0.186,0.2809,0.23,0.0,8192.0,0.4889,0.4376,0.5404,0.4972,0.0,4681.2,0.4683,0.4287,0.5083,0.4767,0.0,5015.5,0.0085,0.0041,0.0175,0.0085,0.0,6144.0,,,,,,,0.298925,2082
gemma4_26b-a4b,on,all,minimal,tools,tl-ster,?,,0.76,0.7086,0.8048,0.7667,0.0,5787.5,0.8444,0.8034,0.8782,0.8889,0.0,2441.0,0.8317,0.7996,0.8595,0.8383,0.0,3292.7,0.3873,0.3546,0.4211,0.3898,0.0,6144.0,,,,,,,0.70585,2081
qwen3_6_35b,off,-,-,no-tools,nt-neut,rtx,,0.0933,0.0654,0.1316,0.0,0.0,2873.0,0.6778,0.6278,0.724,0.0,0.0,1071.0,0.7567,0.7208,0.7893,0.0,0.0,756.2,0.909,0.8982,0.9188,0.0,0.0,1709.5,0.0,0.0,0.0126,0.0,0.0,1897.3,0.48735999999999996,4560
qwen3_6_35b,off,all,minimal,tools,tl-neut,rtx,,0.6767,0.6218,0.7271,0.71,0.0,3392.8,0.9917,0.9758,0.9972,1.0,0.0,711.5,0.97,0.9531,0.9809,0.98,0.0,1173.5,0.7507,0.7349,0.7658,0.758,0.0,1382.0,0.7533,0.7016,0.7987,0.7833,0.0,1773.2,0.8284800000000001,4560
qwen3_6_35b,off,all,minimal,tools,tl-ster,rtx,,0.9367,0.9032,0.9591,0.95,0.0,3114.7,1.0,0.9894,1.0,1.0,0.0,709.8,0.9833,0.9696,0.9909,1.0,0.0,1058.8,0.9847,0.9796,0.9885,0.999,0.0,1243.8,0.98,0.9571,0.9908,1.0,0.0,1387.2,0.9769399999999999,4560
qwen3_6_35b,on,-,-,no-tools,nt-neut,rtx,,0.3833,0.3301,0.4395,0.0,0.0,5416.0,0.7333,0.6854,0.7764,0.0,0.0,3431.5,0.775,0.7399,0.8066,0.0,0.0,1846.7,0.848,0.8347,0.8604,0.0,0.0,3604.7,0.0,0.0,0.0126,0.0,0.0,6144.0,0.54792,4560
qwen3_6_35b,on,all,minimal,tools,tl-neut,?,,0.7633,0.7121,0.8079,0.7633,0.0,5193.8,1.0,0.9894,1.0,1.0,0.0,1335.5,0.9883,0.9761,0.9943,1.0,0.0,2031.7,0.9852,0.9787,0.9898,0.9995,0.0,2510.5,,,,,,,0.9341999999999999,3156
qwen3_6_35b,on,all,minimal,tools,tl-ster,?,,0.9233,0.8876,0.9484,0.93,0.0,4048.8,0.9944,0.98,0.9985,1.0,0.0,1412.7,0.9767,0.9612,0.9861,1.0,0.0,2294.8,0.9868,0.9806,0.991,0.9989,0.0,2527.5,,,,,,,0.9702999999999999,3154
